2025-09-16 17:29:31,801 - INFO - [START] transfer_create | IP=unknown | args=() kwargs={'sender_card_number': '2284  37** **** 2342', 'receiver_card_number': '1234 123** **** 1234', 'sender_card_expiry': '09/29', 'sending_amount': 10000, 'currency': 862}
2025-09-16 17:29:31,920 - INFO - [END] transfer_create | Time=0.1193s | Response=<oslash.either.Left object at 0x00000178A8BBDD30>
2025-09-16 17:29:45,484 - INFO - [START] transfer_create | IP=unknown | args=() kwargs={'sender_card_number': '2284  37** **** 2342', 'receiver_card_number': '1234 123** **** 1234', 'sender_card_expiry': '09/29', 'sending_amount': 10000, 'currency': 843}
2025-09-16 17:29:45,622 - INFO - [END] transfer_create | Time=0.1381s | Response=<oslash.either.Left object at 0x00000178A8C17B10>
2025-09-16 17:29:53,275 - INFO - [START] transfer_create | IP=unknown | args=() kwargs={'sender_card_number': '2284  37** **** 2342', 'receiver_card_number': '1234 123** **** 1234', 'sender_card_expiry': '09/29', 'sending_amount': 10000, 'currency': 843}
2025-09-16 17:29:53,414 - INFO - [END] transfer_create | Time=0.1394s | Response=<oslash.either.Left object at 0x00000178A931B490>
2025-09-16 17:30:02,650 - INFO - [START] transfer_create | IP=unknown | args=() kwargs={'sender_card_number': '2284  37** **** 2342', 'receiver_card_number': '1234 123** **** 1234', 'sender_card_expiry': '09/29', 'sending_amount': 10000, 'currency': 840}
2025-09-16 17:30:06,451 - INFO - [END] transfer_create | Time=3.8018s | Response=<oslash.either.Right object at 0x00000178A895C950>
2025-09-16 17:30:36,432 - INFO - [START] transfer_confirm | IP=unknown | args=() kwargs={'ext_id': 'tr-3813c31e-47ee-4c8b-a966-b86af34f7f9c', 'otp': '*****9'}
2025-09-16 17:30:36,574 - INFO - [END] transfer_confirm | Time=0.1421s | Response=<oslash.either.Right object at 0x00000178A91C9150>
2025-09-16 17:30:38,744 - INFO - [START] transfer_confirm | IP=unknown | args=() kwargs={'ext_id': 'tr-3813c31e-47ee-4c8b-a966-b86af34f7f9c', 'otp': '*****9'}
2025-09-16 17:30:38,881 - INFO - [END] transfer_confirm | Time=0.1375s | Response=<oslash.either.Right object at 0x00000178A956FFC0>
2025-09-16 17:30:39,775 - INFO - [START] transfer_confirm | IP=unknown | args=() kwargs={'ext_id': 'tr-3813c31e-47ee-4c8b-a966-b86af34f7f9c', 'otp': '*****9'}
2025-09-16 17:30:39,888 - INFO - [END] transfer_confirm | Time=0.1131s | Response=<oslash.either.Right object at 0x00000178A957A490>
2025-09-16 17:30:40,996 - INFO - [START] transfer_confirm | IP=unknown | args=() kwargs={'ext_id': 'tr-3813c31e-47ee-4c8b-a966-b86af34f7f9c', 'otp': '*****9'}
2025-09-16 17:30:41,129 - INFO - [END] transfer_confirm | Time=0.1331s | Response=<oslash.either.Right object at 0x00000178A957A8F0>
2025-09-16 17:30:42,144 - INFO - [START] transfer_confirm | IP=unknown | args=() kwargs={'ext_id': 'tr-3813c31e-47ee-4c8b-a966-b86af34f7f9c', 'otp': '*****9'}
2025-09-16 17:30:42,303 - INFO - [END] transfer_confirm | Time=0.1586s | Response=<oslash.either.Right object at 0x00000178A957AE90>
2025-09-16 17:30:43,117 - INFO - [START] transfer_confirm | IP=unknown | args=() kwargs={'ext_id': 'tr-3813c31e-47ee-4c8b-a966-b86af34f7f9c', 'otp': '*****9'}
2025-09-16 17:30:43,237 - INFO - [END] transfer_confirm | Time=0.1208s | Response=<oslash.either.Right object at 0x00000178A9579450>
2025-09-16 17:30:43,949 - INFO - [START] transfer_confirm | IP=unknown | args=() kwargs={'ext_id': 'tr-3813c31e-47ee-4c8b-a966-b86af34f7f9c', 'otp': '*****9'}
2025-09-16 17:30:44,161 - INFO - [START] transfer_confirm | IP=unknown | args=() kwargs={'ext_id': 'tr-3813c31e-47ee-4c8b-a966-b86af34f7f9c', 'otp': '*****9'}
2025-09-16 17:30:44,185 - INFO - [END] transfer_confirm | Time=0.2359s | Response=<oslash.either.Right object at 0x00000178A9579630>
2025-09-16 17:30:44,280 - INFO - [END] transfer_confirm | Time=0.1185s | Response=<oslash.either.Right object at 0x00000178A957A260>
2025-09-16 17:30:44,355 - INFO - [START] transfer_confirm | IP=unknown | args=() kwargs={'ext_id': 'tr-3813c31e-47ee-4c8b-a966-b86af34f7f9c', 'otp': '*****9'}
2025-09-16 17:30:44,536 - INFO - [START] transfer_confirm | IP=unknown | args=() kwargs={'ext_id': 'tr-3813c31e-47ee-4c8b-a966-b86af34f7f9c', 'otp': '*****9'}
2025-09-16 17:30:44,580 - INFO - [END] transfer_confirm | Time=0.2256s | Response=<oslash.either.Right object at 0x00000178A957AFD0>
2025-09-16 17:30:44,741 - INFO - [START] transfer_confirm | IP=unknown | args=() kwargs={'ext_id': 'tr-3813c31e-47ee-4c8b-a966-b86af34f7f9c', 'otp': '*****9'}
2025-09-16 17:30:44,765 - INFO - [END] transfer_confirm | Time=0.2283s | Response=<oslash.either.Right object at 0x00000178A9579A40>
2025-09-16 17:30:44,856 - INFO - [END] transfer_confirm | Time=0.1154s | Response=<oslash.either.Right object at 0x00000178A9579040>
